更新时间,#genre#
20260516-23-39-48,url


freetv,#genre#
CCTV1,https://t.freetv.fun/live/cctv1.m3u8$[HD]cctv1
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao.m3u8$[BD]cctv10-科教
CCTV11,https://t.freetv.fun/live/cctv11-xi-qu-1.m3u8$[BD]cctv11-戏曲
CCTV11,https://t.freetv.fun/live/cctv11.m3u8$[HD]cctv11
CCTV13,https://t.freetv.fun/live/cctv13-xin-wen.m3u8$[BD]cctv13-新闻
CCTV13,https://t.freetv.fun/live/cctv13.m3u8$[HD]cctv13
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv15.m3u8$[HD]cctv15
CCTV17,https://t.freetv.fun/live/cctv17.m3u8$[BD]cctv17
CCTV2,https://t.freetv.fun/live/cctv2-cai-jing-1.m3u8$[BD]cctv2-财经
CCTV2,https://t.freetv.fun/live/cctv2.m3u8$[HD]cctv2
CCTV3,https://t.freetv.fun/live/cctv3-zong-yi-1.m3u8$[BD]cctv3-综艺
CCTV3,https://t.freetv.fun/live/cctv3-zong-yi.m3u8$[BD]cctv3-综艺
CCTV5,https://t.freetv.fun/live/cctv5-1.m3u8$[BD]cctv5
CCTV5,https://t.freetv.fun/live/cctv5-ti-yu-1.m3u8$[BD]cctv5-体育
CCTV5,https://t.freetv.fun/live/cctv5-ti-yu.m3u8$[BD]cctv5-体育
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying-1.m3u8$[BD]cctv6-电影
CCTV6,https://t.freetv.fun/live/cctv6-dian-ying.m3u8$[BD]cctv6-电影
CCTV8,https://t.freetv.fun/live/cctv8-1.m3u8$[BD]cctv8
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju.m3u8$[BD]cctv8-电视剧
东南卫视,https://t.freetv.fun/live/dong-nan-wei-shi.m3u8$[HD]东南卫视
东方卫视,https://t.freetv.fun/live/dong-fang-wei-shi.m3u8$[BD]东方卫视
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
东莞新闻综合,https://t.freetv.fun/live/dong-wan-xin-wen-zong-he.m3u8$[BD]东莞新闻综合
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi.m3u8$[BD]云南卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.m3u8$[HD]内蒙古卫视
