更新时间,#genre#
20260517-23-46-37,url


freetv,#genre#
CCTV10,https://t.freetv.fun/live/cctv-10gao-qing.smil$[BD]cctv-10高清
CCTV10,https://t.freetv.fun/live/cctv10-ke-jiao.m3u8$[BD]cctv10-科教
CCTV11,https://t.freetv.fun/live/cctv-11gao-qing.smil$[BD]cctv-11高清
CCTV12,https://t.freetv.fun/live/cctv-12gao-qing.smil$[BD]cctv-12高清
CCTV12,https://t.freetv.fun/live/cctv12-she-hui-yu-fa.m3u8$[BD]cctv12-社会与法
CCTV13,https://t.freetv.fun/live/cctv-13gao-qing.smil$[BD]cctv-13高清
CCTV14,https://t.freetv.fun/live/cctv-14gao-qing.smil$[BD]cctv-14高清
CCTV14,https://t.freetv.fun/live/cctv14-shao-er.m3u8$[BD]cctv14-少儿
CCTV15,https://t.freetv.fun/live/cctv-15gao-qing.smil$[BD]cctv-15高清
CCTV15,https://t.freetv.fun/live/cctv15-yin-le.m3u8$[BD]cctv15-音乐
CCTV17,https://t.freetv.fun/live/cctv-17gao-qing.smil$[BD]cctv-17高清
CCTV3,https://t.freetv.fun/live/cctv-3gao-qing.smil$[BD]cctv-3高清
CCTV4,https://t.freetv.fun/live/cctv-4gao-qing.smil$[BD]cctv-4高清
CCTV5,https://t.freetv.fun/live/cctv-5gao-qing.smil$[BD]cctv-5高清
CCTV6,https://t.freetv.fun/live/cctv-6gao-qing.smil$[BD]cctv-6高清
CCTV7,https://t.freetv.fun/live/cctv-7gao-qing.smil$[BD]cctv-7高清
CCTV7,https://t.freetv.fun/live/cctv7-jun-nong.m3u8$[BD]cctv7-军农
CCTV7,https://t.freetv.fun/live/cctv7.m3u8$[BD]cctv7
CCTV8,https://t.freetv.fun/live/cctv8-dian-shi-ju.m3u8$[BD]cctv8-电视剧
CCTV9,https://t.freetv.fun/live/cctv-9gao-qing.smil$[BD]cctv-9高清
CCTV9,https://t.freetv.fun/live/cctv9-ji-lu.m3u8$[BD]cctv9-纪录
CHC动作电影,https://t.freetv.fun/live/chcdong-zuo-dian-ying.smil$[BD]chc动作电影
CHC家庭影院,https://t.freetv.fun/live/chcjia-ting-ying-yuan.smil$[BD]chc家庭影院
CHC影迷电影,https://t.freetv.fun/live/chcgao-qing-dian-ying.smil$[BD]chc高清电影
cgtn,https://t.freetv.fun/live/cgtn.smil$[BD]cgtn
东南卫视高清,https://t.freetv.fun/live/dong-nan-wei-shi-gao-qing.smil$[BD]东南卫视高清
东方卫视高清,https://t.freetv.fun/live/dong-fang-wei-shi-gao-qing.smil$[BD]东方卫视高清
东森超视,rtmp://f13h.mine.nu/sat/tv331$[HD]东森超视
中视,rtmp://f13h.mine.nu/sat/tv091$[HD]中视
云南卫视,https://t.freetv.fun/live/yun-nan-wei-shi-gao-qing.smil$[BD]云南卫视高清
兵团卫视,https://t.freetv.fun/live/bing-tuan-wei-shi.smil$[BD]兵团卫视
内蒙古卫视,https://t.freetv.fun/live/nei-meng-gu-wei-shi.smil$[HD]内蒙古卫视
北京卫视,https://t.freetv.fun/live/bei-jing-wei-shi-gao-qing.smil$[BD]北京卫视高清
吉林卫视,https://t.freetv.fun/live/ji-lin-wei-shi-gao-qing.smil$[BD]吉林卫视高清
四川卫视高清,https://t.freetv.fun/live/si-chuan-wei-shi-gao-qing.smil$[BD]四川卫视高清
天津卫视高清,https://t.freetv.fun/live/tian-jin-wei-shi-gao-qing-1.smil$[BD]天津卫视高清
天津卫视高清,https://t.freetv.fun/live/tian-jin-wei-shi-gao-qing.smil$[BD]天津卫视高清
安徽卫视,https://t.freetv.fun/live/an-hui-wei-shi-gao-qing.smil$[BD]安徽卫视高清
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi-gao-qing.smil$[BD]山东卫视高清
山东卫视,https://t.freetv.fun/live/shan-dong-wei-shi.m3u8$[BD]山东卫视
山西卫视,https://t.freetv.fun/live/shan-xi-wei-shi-1.smil$[BD]山西卫视
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-1.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-2.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing-3.m3u8$[BD]广东体育高清
广东体育,https://t.freetv.fun/live/yan-dong-ti-yu-gao-qing.m3u8$[BD]广东体育高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-1.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-2.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-3.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing-4.smil$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi-gao-qing.m3u8$[BD]广东卫视高清
广东卫视,https://t.freetv.fun/live/yan-dong-wei-shi.m3u8$[BD]广东卫视
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-1.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-2.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-3.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-4.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-5.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-6.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing-7.m3u8$[BD]广东少儿高清
广东少儿,https://t.freetv.fun/live/yan-dong-shao-er-gao-qing.m3u8$[BD]广东少儿高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-1.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-2.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-3.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing-4.m3u8$[BD]广东影视高清
广东影视,https://t.freetv.fun/live/yan-dong-ying-shi-gao-qing.m3u8$[BD]广东影视高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-1.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-2.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-3.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-4.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-5.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing-6.m3u8$[BD]广东新闻高清
广东新闻,https://t.freetv.fun/live/yan-dong-xin-wen-gao-qing.m3u8$[BD]广东新闻高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-1.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-2.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-3.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-4.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-5.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing-6.m3u8$[BD]广东珠江高清
广东珠江,https://t.freetv.fun/live/yan-dong-zhu-jiang-gao-qing.m3u8$[BD]广东珠江高清
广西卫视,https://t.freetv.fun/live/yan-xi-wei-shi.smil$[BD]广西卫视
新疆卫视,https://t.freetv.fun/live/xin-jiang-wei-shi.smil$[BD]新疆卫视
江苏卫视,https://t.freetv.fun/live/jiang-su-wei-shi-gao-qing.smil$[BD]江苏卫视高清
江西卫视,https://t.freetv.fun/live/jiang-xi-wei-shi-gao-qing.smil$[BD]江西卫视高清
河北卫视,https://t.freetv.fun/live/he-bei-wei-shi-gao-qing.smil$[BD]河北卫视高清
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi-gao-qing.smil$[BD]河南卫视高清
河南卫视,https://t.freetv.fun/live/he-nan-wei-shi.smil$[BD]河南卫视
河南新闻,https://t.freetv.fun/live/he-nan-xin-wen.smil$[BD]河南新闻
河南民生,https://t.freetv.fun/live/he-nan-min-sheng.smil$[BD]河南民生
浙江卫视,https://t.freetv.fun/live/zhe-jiang-wei-shi-gao-qing.smil$[BD]浙江卫视高清
浙江少儿,https://t.freetv.fun/live/zhe-jiang-shao-er.m3u8$[BD]浙江少儿
浙江新闻,https://t.freetv.fun/live/zhe-jiang-xin-wen.m3u8$[BD]浙江新闻
深圳卫视,https://t.freetv.fun/live/shen-zhen-wei-shi-gao-qing.smil$[BD]深圳卫视高清
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi-gao-qing.smil$[BD]湖北卫视高清
湖北卫视,https://t.freetv.fun/live/hu-bei-wei-shi.m3u8$[BD]湖北卫视
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-gao-qing-1.smil$[BD]湖南卫视高清
湖南卫视,https://t.freetv.fun/live/hu-nan-wei-shi-gao-qing.smil$[BD]湖南卫视高清
甘肃卫视,https://t.freetv.fun/live/gan-su-wei-shi.smil$[BD]甘肃卫视
电影,https://t.freetv.fun/live/dian-ying.m3u8$[BD]电影
纬来体育,rtmp://f13h.mine.nu/sat/tv721$[HD]纬来体育
纬来体育,rtmp://f13h.mine.nu:1935/sat/tv721$[HD]纬来体育
经典电影,https://t.freetv.fun/live/jing-dian-dian-ying.smil$[BD]经典电影
