◆◆◆　https://t.doruo.cn/1nK5BSpDG
◆◆◆　http://m6z.cn/62WiCu
◆◆◆　https://epg.pw/test_channels.txt
#這個檔案是由https://freetv.fun自動生成的,僅僅只是用於測試epg的準確性.
Diaspora Ghana Television,https://stream1.freetv.fun/9fba43fbb922a9f00add78b988f280d39275d947224ec2c471d7252671f9222a.m3u8
Dunamis TV Africa,https://stream1.freetv.fun/73389e8acf686dd08544a09e17138b7f4c6568beaa407dfbb3831998b9ae297d.ctv
GTV (GHANA),https://stream1.freetv.fun/f6918f8a3eb1d891272c8f5bc364851642b06131cf1cfc428ace89bc513fc246.m3u8
GTV (GHANA),https://stream1.freetv.fun/bd479af08e90369369ffc0014e9ac718b3a63c9f4aa27e559ea1d3cad060c880.m3u8
Kalsan TV Somali,https://stream1.freetv.fun/c0699a8d39f5ed1b61a6951352ccfc925fe69058e8427741298702aed58fbc73.m3u8
Sudan TV,https://stream1.freetv.fun/be74bd43e5656aab36b52ff27d37123d7660600c746ba6116387d11b23c56831.m3u8
TVC News,https://stream1.freetv.fun/7b0249cd4a1f4fd5119bdf845320ba83144489b3ceeb7f5141321f3ced0ea8ed.m3u8
Vision TV 4 Africa,https://stream1.freetv.fun/68603825f1373e9b1ee72711fcf734a6b31fc18ba8d073a954cac2b4d3d38125.m3u8
3 Plus,https://stream1.freetv.fun/46a4aab6b543fdbfb92825adfc47452e82e39555e6ec3c54b7c92e29731f3bfa.m3u8
Kanali 7 News,https://stream1.freetv.fun/cf4cca86ec48c5f6060e01b22ae8bc49e5a610457dcb59e65fe367accbc65231.m3u8
ORA NEWS ALBANIA,https://stream1.freetv.fun/0ae187ebee84c298c62785e6fbdeb41d61b6ed5f511f222033558cc9ec489b97.m3u8
Super Sport 3 HD,https://stream1.freetv.fun/6a318a84b1e43b95fec29d0f441d4269a38aa3908b2f9c984bec2478d0fc3c8a.ctv
Tip TV,https://stream1.freetv.fun/c20fda7df21a072fac2a27f922c7586de239b59187ba707ea7d66587316a580a.m3u8
Tip TV,https://stream1.freetv.fun/0dfe5c51a6dec38e25e95a343ca32b6dc0b2f001cc2b63837126fe270e69624b.ctv
Tip TV,https://stream1.freetv.fun/b9f9ad46e72ff4a55c8ae7f2abf2571c136e53dbc2bde648d539a1b90660d931.m3u8
Tip TV,https://stream1.freetv.fun/d3e09c84d583c097d78312c913a6cbe8167d9e8dbc7d8ab4e1f2d2047c8f5ee3.m3u8
Tip TV,https://stream1.freetv.fun/6a552246702d35b2ca4219edda6ce5e1bcd557d5ad6a8063e166bfaef0c34f78.m3u8
Tip TV,https://stream1.freetv.fun/780ab2a7bfa2cb61e4d67b35b3506e6dc6fd457d0e798303f51707d1fd2aa25a.m3u8
Tip TV,https://stream1.freetv.fun/a43be87bf7f74507895add30f05905ac4e31301d4a0fa0050bf7c3a2ae71f44a.m3u8
Tring Fantasy Albania,https://stream1.freetv.fun/3a971d5db6e586be78e548944483abe87a5a8e3f7af137219012318feff09b16.m3u8
Tring Sport 2 Albania,https://stream1.freetv.fun/602fe53d605e59f92068b511319d86f02f7c24e4da55f7f9f6b6e73c8ea47148.m3u8
Tring Sport 2 Albania,https://stream1.freetv.fun/cc4347d44200ebd2315b9abb5673ca03c14b6de97a9e2cc320fdb2fa07b91ee1.m3u8
Tring Sport News Albania,https://stream1.freetv.fun/120dbc30245854de44c6d6246173247507e73f9f8b6eb86745279d9ea205b531.m3u8
Vizion Plus Albania,https://stream1.freetv.fun/c42fe9aed801cc2833613e98a682e34bf919b2c33dbc159380ca4aebeefd96c9.m3u8
Dzair TV,https://stream1.freetv.fun/7d933061a661462acb706735ae7a4ce02e8410f648365642e06ca3defba6e395.m3u8
Dzair TV,https://stream1.freetv.fun/48be176c2b0a6a5d9ac3f886853222504621e247f9d66b4031cae7e5e6e9fd8b.m3u8
Dzair TV,https://stream1.freetv.fun/4e59ffb488b27f676f5a080c4039465fbb1a50f059485b6cde313d492114779a.m3u8
Lindex TV,https://stream1.freetv.fun/7d5148f588fc7ed85e265283c72ebb326062e4d8f46e217cafa39590415fc639.m3u8
Rasd TV,https://stream1.freetv.fun/47d1a775c70d5430a55c4e4bd1a295e1200dff9886799e3ba73861f9c81cdfba.m3u8
Samira food,https://stream1.freetv.fun/c2d60367e180553add7c9c4d7d769a589f4fba3a3dfba2e96019a3afa683a0ed.m3u8
America TV,https://stream1.freetv.fun/8394101927f3a7d38820a44e80043e028b2e55f3f10cc7b03c5fa71991f1810f.m3u8
America TV,https://stream1.freetv.fun/a949652975a23d9e40506c010eb8a90062ed12a34d1d0261c7119130559b762b.m3u8
America TV,https://stream1.freetv.fun/9cc4b9b4440f38c47109d95e4c47410ce1227c72b0456efaeb01dc0f943beea3.m3u8
America TV,https://stream1.freetv.fun/2d9bb031a693b9ee983b7cb62f9312d843797d4f5c830daa8add86c95c246b9f.m3u8
America TV,https://stream1.freetv.fun/10b481233810460fae510236ac1284ac1e3f6cbdf4bc7e92a7e0fe241fe8c96c.m3u8
America TV,https://stream1.freetv.fun/3dee4d4dabd783a709f76fcb978d74d89372c2290547f349b58ffb7eb06b2225.m3u8
America TV,https://stream1.freetv.fun/fb4e19e1d6823060c39ad0f203737051517f2f1c860245d8fd478b05b7005a7c.m3u8
America TV,https://stream1.freetv.fun/35cab654134f8cfcbe2ddec5f9240ef4b07049be3ad531d91dd930b89adc4dc2.m3u8
America TV,https://stream1.freetv.fun/e8fbab519d4c57794ba5df42f8a4b601d0804e662492fbe26347acec1406f1df.m3u8
America TV,https://stream1.freetv.fun/df4f423b724413dc3b0a11797bd8dc48a424b9d47b230c3c908801388de704ae.m3u8
Canal Cuatro 4 Argentina,https://stream1.freetv.fun/c6f3be41ced472a4cd2df4ecf6a45b2969bce0581b5b5fa8184475eb0dda4d37.m3u8
Canal Rural Argentina,https://stream1.freetv.fun/1731791a6959412287b43f8d5232a50ba172109466f80e2a6ba41fa4c2ee29f1.m3u8
Canal Rural Argentina,https://stream1.freetv.fun/83667afff9e53d49ce221fe296ff98cb8db23b8d2a1db0ca668175445ecb46dd.m3u8
Canal Rural Argentina,https://stream1.freetv.fun/94453d28e96adf34d02a25ceccc76da1df74dd1854e02e8cda04746540dc4c3f.m3u8
TyC Sports,https://stream1.freetv.fun/6ff4be69b4cc460c95f00d462d9337a425abb4c95b62622055fa3a9441cd5ace.ctv
TyC Sports,https://stream1.freetv.fun/1b98b1649f05e0accd08254fa1f58b7c10d2ffb331d138431122f3bc8614c64e.m3u8
3ABN Kids,https://stream1.freetv.fun/853cd0122ef7607b1d2a8f8b528d1821078dae6bd9a0fb00413c688b967f3588.m3u8
3ABN Kids,https://stream1.freetv.fun/325d72328c939779e2ec3eeda6c7e64276bfae816b19c0a755c990499e155127.m3u8
Armenia TV,https://stream1.freetv.fun/500d8ced30055f38b3e37f5194eb6a8a53631e9f3579e262802dd337ff86a399.m3u8
Armenia TV,https://stream1.freetv.fun/20a82c3c8658bbdcdfb2bd3a6b3ed4e5993a3b8fe22510bb6d7c88dd5538ac7b.m3u8
Armenia TV,https://stream1.freetv.fun/4fe68e61810b05a3d90a0814bbb5d1fc167014621a8b9dff825be0103b1aef8c.m3u8
Armenia TV,https://stream1.freetv.fun/d5116033c928ae52ce40c9bf50d647ece0af51dc5059413ffe75c5891a6b30d9.m3u8
Armenia TV,https://stream1.freetv.fun/b7fbdc917c8f9810f48087bb888287912520eeca23d6d9d70dc00d1ec3d31fd1.m3u8
ABC 3 Australia,https://stream1.freetv.fun/5cc4334c40d1567d8e0276e8004f7c83541f63fc53a2ac14cdf2409df61547f0.m3u8
ABC 3 Australia,https://stream1.freetv.fun/6fea37cf10648190254d3befb117d9930ba70cac5f9939cfec4e7071c8662432.ctv
ABC Australia,https://stream1.freetv.fun/1b6285653f4fe5545e4e4aa4811354a8f5cd2f673fff51e9eb7ed879c91f450a.ctv
ABC Australia,https://stream1.freetv.fun/cb027445b61f679acee5da2c946741d7e070f4922dc1252eec4a3dc70a6a868d.ctv
ABC Australia,https://stream1.freetv.fun/2f18398f3e513e64befe20c5a553a6a38cde013ce2252d141ba10901ab5d0513.ctv
ABC Australia,https://stream1.freetv.fun/4791e2ccadd0892e8d304863a157ca0cf0298aa3a9cf5db9b575a1bc032b6367.ctv
ABC Australia,https://stream1.freetv.fun/f9b3718bd40f91da9accc778a1347764113d4ac23cc4614fd051ccf68589a25a.ctv
ABC NEWS 24,https://stream1.freetv.fun/5843872596afe2cb45d198314871ee40c1a0821e1afcd508c0ec883eb210ecdd.m3u8
